"country","id","mayor","metroPopulation","name","population","rank","sameAs"
"Germany","201","Peter Jung",,"Wuppertal","353 thousand","n/r","http://dbpedia.org/resource/Wuppertal"
"China","443","Guo Jinlong","17.550 thousand","BEIJING","12.460 thousand","4","http://dbpedia.org/resource/Beijing"
"Japan","685","Yasutomo Suzuki","1.093 thousand","Hamamatsu","815 thousand","482","http://dbpedia.org/resource/Hamamatsu"
"Germany","202","Peter Clausen","1.420 thousand","Bielefeld","324 thousand","n/r","http://dbpedia.org/resource/Bielefeld"
"China","444","Huang Xingguo","11.750 thousand","Tianjin","7.500 thousand","24","http://dbpedia.org/resource/Tianjin"
"Germany","686","Olaf Scholz","3.260 thousand","Hamburg","1.775 thousand","166","http://dbpedia.org/resource/Hamburg"
"Germany","203","Peter Kurz","1.456 thousand","Mannheim","311 thousand","n/r","http://dbpedia.org/resource/Mannheim"
"China","445","Donald Tsang",,"Hong Kong","7.055 thousand","27","http://dbpedia.org/resource/Hong_Kong"
"North Korea","687","n/k","821 thousand","Hamhung","821 thousand","479","http://dbpedia.org/resource/Hamhung"
"Germany","204","Heinz Fenrich",,"Karlsruhe","291 thousand","n/r","http://dbpedia.org/resource/Karlsruhe"
"China","446","Wan Qingliang","10.182 thousand","Guangzhou","6.458 thousand","28","http://dbpedia.org/resource/Guangzhou"
"China","688","Guo Dajian","8.500 thousand","Handan","1.390 thousand","260","http://dbpedia.org/resource/Handan"
"Germany","205","Helmut M�ller",,"Wiesbaden","277 thousand","n/r","http://dbpedia.org/resource/Wiesbaden"
"China","447","Li Yuquan","7.650 thousand","Dongguan","6.446 thousand","29","http://dbpedia.org/resource/Dongguan"
"China","689","Cai Qi","6.776 thousand","Hangzhou","3.408 thousand","69","http://dbpedia.org/resource/Hangzhou"
"Germany","206","Markus Lewe",,"M�nster","274 thousand","n/r","http://dbpedia.org/resource/M%C3%BCnster"
"China","448","Li Yingjie","7.760 thousand","Shenyang","5.090 thousand","37","http://dbpedia.org/resource/Shenyang"
"Germany","207","Kurt Gribl",,"Augsburg","263 thousand","n/r","http://dbpedia.org/resource/Augsburg"
"China","449","Huang Qifan","9.700 thousand","Chongqing","5.087 thousand","38","http://dbpedia.org/resource/Chongqing"
"Germany","208","Frank Baranowski",,"Gelsenkirchen","262 thousand","n/r","http://dbpedia.org/resource/Gelsenkirchen"
"Germany","209","Marcel Philipp","1.240 thousand","Aachen","259 thousand","n/r","http://dbpedia.org/resource/Aachen"
"Germany","690","Stephan Weil","1.130 thousand","Hannover","520 thousand","n/r","http://dbpedia.org/resource/Hanover"
"Vietnam","691","Nguyen The Thao","6.500 thousand","HANOI","1.372 thousand","270","http://dbpedia.org/resource/Hanoi"
"China","450","Zhang Xiaolian","9.874 thousand","Harbin","4.755 thousand","42","http://dbpedia.org/resource/Harbin"
"India","692","Sri Gopal Mukherjee",,"Haora","1.008 thousand","406","http://dbpedia.org/resource/Howrah"
"China","451","Ruan Chengfa","6.200 thousand","Wuhan","4.500 thousand","46","http://dbpedia.org/resource/Wuhan"
